Date;SB;Attendance;Winner;QB  Winner;Coach Winner;Winning Pts;Loser;QB Loser;Coach Loser;Losing Pts;MVP;Stadium;City;State;Point Difference;Referee;Umpire;Head Linesman;Line Judge;Field Judge;Back Judge;Side Judge;Geo Shape;Geo Point 2D
2020-02-02;LIV;62417;Kansas City Chiefs;Patrick Mahomes;Andy Reid;31;San Francisco 49ers;Jimmy Garoppolo;Kyle Shanahan;20;Patrick Mahomes;Hard Rock Stadium;Miami Gardens;Florida;11;Bill Vinovich;Barry Anderson;Kent Payne;Carl Johnson;Michael Banks;Greg Steed;Boris Cheek;"{""coordinates"": [[[-80.056539285, 26.88], [-80.088015, 26.205765], [-80.13156, 25.816775], [-80.38103, 25.20616], [-80.6797985501, 25.0799164902], [-81.1719132148, 25.2010977239], [-81.3301206123, 25.6397531194], [-81.7100715807, 25.869945787], [-82.2397808499, 26.7298416204], [-82.70515, 27.49504], [-82.85526, 27.88624], [-82.6498850166, 28.5501697861], [-82.93, 29.1], [-83.70959, 29.93656], [-84.0997965156, 30.0900499537], [-85.10882, 29.63615], [-85.28784, 29.68612], [-85.7731, 30.15261], [-86.4000695462, 30.4001602239], [-87.5303881498, 30.2741989202], [-87.4578861152, 30.4112706569], [-87.4049694486, 30.60864879], [-87.6330433825, 30.8515280218], [-87.6171528796, 30.9277249212], [-87.0456632149, 30.9848790553], [-85.0051934476, 30.9906926539], [-84.8533164131, 30.7213550888], [-83.8478997464, 30.6753113877], [-82.2260090807, 30.5255530869], [-82.151930915, 30.3509384222], [-82.022817349, 30.4403644882], [-82.0201560127, 30.7880176865], [-81.8995173815, 30.8218915878], [-81.7015966458, 30.7483301865], [-81.4904725817, 30.7298300237], [-81.31371, 30.03552], [-80.979831916, 29.17989879], [-80.535585, 28.47213], [-80.5300402493, 28.0400717229], [-80.056539285, 26.88]]], ""type"": ""Polygon""}";28.6169283051,-82.5025741003
1967-01-15;I;61946;Green Bay Packers;Bart Starr;Vince Lombardi;35;Kansas City Chiefs;Len Dawson;Hank Stram;10;Bart Starr;Memorial Coliseum;Los Angeles;California;25;;;;;;;;"{""coordinates"": [[[-114.3549006824, 34.464666653], [-114.165971646, 34.2725853541], [-114.4691831124, 34.0672748886], [-114.5485581124, 33.6095250514], [-114.7433007475, 33.3798749863], [-114.6914434477, 33.2036841904], [-114.6559934152, 33.0539000514], [-114.479776781, 32.9163373886], [-114.5898475818, 32.7162979192], [-114.72139, 32.72083], [-115.9910798816, 32.6125833196], [-117.1277288481, 32.5353270533], [-117.2959376913, 33.0462246152], [-117.944, 33.6212364312], [-118.4106022759, 33.7409092231], [-118.5198948228, 34.0277815776], [-119.081, 34.078], [-119.438840642, 34.3484771783], [-120.367816122, 34.4472258571], [-120.6228651536, 34.6086113551], [-120.7445889899, 35.1568207871], [-121.714555624, 36.1617206894], [-122.5474505215, 37.5518167181], [-122.5120004889, 37.7836113551], [-122.9533172207, 38.1137979193], [-123.7269650885, 38.9514728867], [-123.8650703538, 39.7669269883], [-124.3979577236, 40.3130176865], [-124.1788754889, 41.1422435573], [-124.2138087572, 41.9994780544], [-119.9989755866, 41.9926050889], [-120.0000349534, 38.9953978542], [-118.1146195138, 37.6444208847], [-116.3207496814, 36.3220468206], [-114.642221646, 35.0531061875], [-114.6221195138, 34.9636801214], [-114.5670841134, 34.8282103541], [-114.4845310128, 34.6530530869], [-114.3549006824, 34.464666653]]], ""type"": ""Polygon""}";37.2551445335,-119.640543961
2012-02-05;XLVI;68658;New York Giants;Eli Manning;Tom Coughlin;21;New England Patriots;Tom Brady;Bill Belichick;17;Eli Manning;Lucas Oil Stadium;Indianapolis;Indiana;4;John Parry;Carl Paganelli;Tom Stabile;Gary Arthur;Gary Cavaletto;Tony Steratore;Laird Hayes;"{""coordinates"": [[[-84.8067559476, 41.6777405869], [-84.8099340482, 40.7728604193], [-84.8178663805, 39.7997415228], [-84.8236799792, 39.1065280218], [-84.8813767158, 39.0594249538], [-84.7998829821, 38.8551738551], [-84.843265347, 38.7810956894], [-85.0115496488, 38.77949372], [-85.1676383125, 38.6911270208], [-85.4041871813, 38.7271196559], [-85.4258912829, 38.5350383571], [-85.5666320462, 38.46199372], [-85.6984069486, 38.2900145534], [-85.8396903145, 38.2588019883], [-86.059831916, 37.9608873561], [-86.2625068835, 38.0466185573], [-86.3254746162, 38.1693759222], [-86.4995725166, 37.9698790553], [-86.6101600817, 37.8587488877], [-86.8255216133, 37.9762352565], [-87.0557142809, 37.8809697536], [-87.131394416, 37.7836113551], [-87.4393601143, 37.936005154], [-87.653662279, 37.8264769557], [-87.9113726468, 37.9042499863], [-87.9214237129, 37.7936624212], [-88.0510798815, 37.8196039902], [-88.0188079496, 38.0217363551], [-87.8785581123, 38.2905571559], [-87.6711289131, 38.5085800238], [-87.5986527168, 38.6742029892], [-87.5150402494, 38.7350519883], [-87.5070820788, 38.8694623887], [-87.5599987455, 39.0403821885], [-87.6420350817, 39.1139435898], [-87.528269416, 39.3922728542], [-87.5272100492, 40.5500833197], [-87.5261506823, 41.7084363877], [-87.5213706123, 41.76083629], [-87.2213372464, 41.76083629], [-86.91812578, 41.76083629], [-86.8244622464, 41.76083629], [-86.8244622464, 41.7560562201], [-85.7481455147, 41.7513019883], [-84.8072985501, 41.7560562201], [-84.8067559476, 41.6777405869]]], ""type"": ""Polygon""}";39.9127116677,-86.2848049993
2007-02-04;XLI;74512;Indianapolis Colts;Peyton Manning;Tony Dungy;29;Chicago Bears;Rex Grossman;Lovie Smith;17;Peyton Manning;Dolphin Stadium;Miami Gardens;Florida;12;Tony Corrente;Carl Paganelli;George Hayward;Ron Marinucci;Jim Saracino;Perry Paganelli;John Parry;"{""coordinates"": [[[-80.056539285, 26.88], [-80.088015, 26.205765], [-80.13156, 25.816775], [-80.38103, 25.20616], [-80.6797985501, 25.0799164902], [-81.1719132148, 25.2010977239], [-81.3301206123, 25.6397531194], [-81.7100715807, 25.869945787], [-82.2397808499, 26.7298416204], [-82.70515, 27.49504], [-82.85526, 27.88624], [-82.6498850166, 28.5501697861], [-82.93, 29.1], [-83.70959, 29.93656], [-84.0997965156, 30.0900499537], [-85.10882, 29.63615], [-85.28784, 29.68612], [-85.7731, 30.15261], [-86.4000695462, 30.4001602239], [-87.5303881498, 30.2741989202], [-87.4578861152, 30.4112706569], [-87.4049694486, 30.60864879], [-87.6330433825, 30.8515280218], [-87.6171528796, 30.9277249212], [-87.0456632149, 30.9848790553], [-85.0051934476, 30.9906926539], [-84.8533164131, 30.7213550888], [-83.8478997464, 30.6753113877], [-82.2260090807, 30.5255530869], [-82.151930915, 30.3509384222], [-82.022817349, 30.4403644882], [-82.0201560127, 30.7880176865], [-81.8995173815, 30.8218915878], [-81.7015966458, 30.7483301865], [-81.4904725817, 30.7298300237], [-81.31371, 30.03552], [-80.979831916, 29.17989879], [-80.535585, 28.47213], [-80.5300402493, 28.0400717229], [-80.056539285, 26.88]]], ""type"": ""Polygon""}";28.6169283051,-82.5025741003
1984-01-22;XVIII;72920;Los Angeles Raiders;Jim Plunkett;Tom Flores;38;Washington Redskins;Joe Theismann;Joe Gibbs;9;Marcus Allen;Tampa Stadium;Tampa;Florida;29;Gene Barth;Gordon Wells;Jerry Bergman;Bob Beeks;Fritz Graf;Gil Mace;Ben Tompkins;"{""coordinates"": [[[-80.056539285, 26.88], [-80.088015, 26.205765], [-80.13156, 25.816775], [-80.38103, 25.20616], [-80.6797985501, 25.0799164902], [-81.1719132148, 25.2010977239], [-81.3301206123, 25.6397531194], [-81.7100715807, 25.869945787], [-82.2397808499, 26.7298416204], [-82.70515, 27.49504], [-82.85526, 27.88624], [-82.6498850166, 28.5501697861], [-82.93, 29.1], [-83.70959, 29.93656], [-84.0997965156, 30.0900499537], [-85.10882, 29.63615], [-85.28784, 29.68612], [-85.7731, 30.15261], [-86.4000695462, 30.4001602239], [-87.5303881498, 30.2741989202], [-87.4578861152, 30.4112706569], [-87.4049694486, 30.60864879], [-87.6330433825, 30.8515280218], [-87.6171528796, 30.9277249212], [-87.0456632149, 30.9848790553], [-85.0051934476, 30.9906926539], [-84.8533164131, 30.7213550888], [-83.8478997464, 30.6753113877], [-82.2260090807, 30.5255530869], [-82.151930915, 30.3509384222], [-82.022817349, 30.4403644882], [-82.0201560127, 30.7880176865], [-81.8995173815, 30.8218915878], [-81.7015966458, 30.7483301865], [-81.4904725817, 30.7298300237], [-81.31371, 30.03552], [-80.979831916, 29.17989879], [-80.535585, 28.47213], [-80.5300402493, 28.0400717229], [-80.056539285, 26.88]]], ""type"": ""Polygon""}";28.6169283051,-82.5025741003
2010-02-07;XLIV;74059;New Orleans Saints;Drew Brees;Sean Payton;31;Indianapolis Colts;Peyton Manning;Jim Caldwell;17;Drew Brees;Sun Life Stadium;Miami Gardens;Florida;14;Scott Green[4];Undrey Wash;John McGrath;Jeff Seeman;Rob Vernatchi;Greg Steed;Greg Meyer;"{""coordinates"": [[[-80.056539285, 26.88], [-80.088015, 26.205765], [-80.13156, 25.816775], [-80.38103, 25.20616], [-80.6797985501, 25.0799164902], [-81.1719132148, 25.2010977239], [-81.3301206123, 25.6397531194], [-81.7100715807, 25.869945787], [-82.2397808499, 26.7298416204], [-82.70515, 27.49504], [-82.85526, 27.88624], [-82.6498850166, 28.5501697861], [-82.93, 29.1], [-83.70959, 29.93656], [-84.0997965156, 30.0900499537], [-85.10882, 29.63615], [-85.28784, 29.68612], [-85.7731, 30.15261], [-86.4000695462, 30.4001602239], [-87.5303881498, 30.2741989202], [-87.4578861152, 30.4112706569], [-87.4049694486, 30.60864879], [-87.6330433825, 30.8515280218], [-87.6171528796, 30.9277249212], [-87.0456632149, 30.9848790553], [-85.0051934476, 30.9906926539], [-84.8533164131, 30.7213550888], [-83.8478997464, 30.6753113877], [-82.2260090807, 30.5255530869], [-82.151930915, 30.3509384222], [-82.022817349, 30.4403644882], [-82.0201560127, 30.7880176865], [-81.8995173815, 30.8218915878], [-81.7015966458, 30.7483301865], [-81.4904725817, 30.7298300237], [-81.31371, 30.03552], [-80.979831916, 29.17989879], [-80.535585, 28.47213], [-80.5300402493, 28.0400717229], [-80.056539285, 26.88]]], ""type"": ""Polygon""}";28.6169283051,-82.5025741003
1995-01-29;XXIX;74107;San Francisco 49ers;Steve Young;George Seifert;49;San Diego Chargers;Stan Humphreys;Bobby Ross;26;Steve Young;Joe Robbie Stadium;Miami Gardens;Florida;23;Jerry Markbreit;Ron Botchan;Ron Phares;Ron Baynes;Jack Vaughan;Tim Millis;Tom Fincken;"{""coordinates"": [[[-80.056539285, 26.88], [-80.088015, 26.205765], [-80.13156, 25.816775], [-80.38103, 25.20616], [-80.6797985501, 25.0799164902], [-81.1719132148, 25.2010977239], [-81.3301206123, 25.6397531194], [-81.7100715807, 25.869945787], [-82.2397808499, 26.7298416204], [-82.70515, 27.49504], [-82.85526, 27.88624], [-82.6498850166, 28.5501697861], [-82.93, 29.1], [-83.70959, 29.93656], [-84.0997965156, 30.0900499537], [-85.10882, 29.63615], [-85.28784, 29.68612], [-85.7731, 30.15261], [-86.4000695462, 30.4001602239], [-87.5303881498, 30.2741989202], [-87.4578861152, 30.4112706569], [-87.4049694486, 30.60864879], [-87.6330433825, 30.8515280218], [-87.6171528796, 30.9277249212], [-87.0456632149, 30.9848790553], [-85.0051934476, 30.9906926539], [-84.8533164131, 30.7213550888], [-83.8478997464, 30.6753113877], [-82.2260090807, 30.5255530869], [-82.151930915, 30.3509384222], [-82.022817349, 30.4403644882], [-82.0201560127, 30.7880176865], [-81.8995173815, 30.8218915878], [-81.7015966458, 30.7483301865], [-81.4904725817, 30.7298300237], [-81.31371, 30.03552], [-80.979831916, 29.17989879], [-80.535585, 28.47213], [-80.5300402493, 28.0400717229], [-80.056539285, 26.88]]], ""type"": ""Polygon""}";28.6169283051,-82.5025741003
2006-02-05;XL;68206;Pittsburgh Steelers;Ben Roethlisberger;Bill Cowher;21;Seattle Seahawks;Matt Hasselbeck;Mike Holmgren;10;Hines Ward;Ford Field;Detroit;Michigan;11;Bill Leavy;Garth DeFelice;Mark Hittner;Mark Perlman;Steve Zimmer;Bob Waggoner;Tom Hill;"{""coordinates"": [[[-90.3952778796, 46.6116771511], [-90.3555903796, 46.6730687526], [-90.298978848, 46.7609186875], [-90.2418247139, 46.8482260199], [-90.1852131823, 46.9360759548], [-90.1280590482, 47.0239000515], [-90.0714475166, 47.1117499863], [-90.0148101468, 47.1995999212], [-89.9576560127, 47.2869072536], [-89.8428309802, 47.4647258571], [-89.7280059476, 47.6419760199], [-89.6136976794, 47.8192520209], [-89.5226954821, 47.9605353867], [-89.4888845572, 48.0152632178], [-89.2729174466, 48.0198082546], [-89.1856101143, 48.0473259548], [-88.3781141833, 48.3029175889], [-87.4943955147, 47.9615947536], [-87.2081080798, 47.8483716905], [-86.9218464831, 47.7351227891], [-86.6720684476, 47.6361624212], [-86.4953350492, 47.5668384873], [-86.4286466133, 47.5398375515], [-86.2344465807, 47.4599457871], [-86.0402465482, 47.3800540228], [-85.84656328, 47.3001364203], [-85.6523632474, 47.2202188177], [-85.4581632149, 47.1398102891], [-85.2639631823, 47.0598926865], [-85.0702799141, 46.9800009222], [-84.8760798815, 46.9000833197], [-84.8268580798, 46.7667322862], [-84.7792382474, 46.6371019557], [-84.5437487454, 46.5386841904], [-84.5432319811, 46.5386841904], [-84.6049, 46.4396], [-84.3367, 46.40877], [-84.1421195137, 46.5122258571], [-84.1283735827, 46.4836487901], [-84.115144416, 46.370916653], [-84.0918512642, 46.2754186061], [-83.890765347, 46.1169269883], [-83.7632279121, 46.1089688177], [-83.6690476143, 46.1227405869], [-83.6161309476, 46.1169269883], [-83.4695507474, 45.9946863877], [-83.5928507148, 45.8168936224], [-83.3970487129, 45.7290436875], [-83.1790516833, 45.6327188177], [-82.9192225817, 45.5179196234], [-82.7604725817, 45.4475104844], [-82.5509246488, 45.3475165879], [-82.5154746162, 45.2041144883], [-82.4852955797, 45.0839926214], [-82.4466674466, 44.9157083197], [-82.4075225491, 44.743729153], [-82.3683518135, 44.5728093532], [-82.3265455797, 44.3912958848], [-82.2810444811, 44.1923416205], [-82.2408402168, 44.015608222], [-82.1963726468, 43.8224417181], [-82.1376423815, 43.5710875514], [-82.1905590482, 43.4742717555], [-82.4170310127, 43.0176071234], [-82.429743415, 42.9800383571], [-82.9001798164, 42.4302269557], [-83.1197788154, 42.0799124212], [-83.1287705146, 42.0688019883], [-83.1419996813, 41.9756810573], [-83.4626777819, 41.6941478542], [-83.8399674141, 41.6851561549], [-84.295055915, 41.6851561549], [-84.8067559476, 41.6777405869], [-84.8072985501, 41.7560562201], [-85.7481455147, 41.7513019883], [-86.8244622464, 41.7560562201], [-86.8244622464, 41.76083629], [-86.91812578, 41.76083629], [-87.2213372464, 41.76083629], [-87.1758361478, 41.9439000514], [-87.1303350492, 42.1270154893], [-87.0848081123, 42.3095624863], [-87.0393070137, 42.4926520859], [-87.0795371162, 42.7821176214], [-87.1139277819, 43.0302936875], [-87.1551914131, 43.3266321885], [-87.145140347, 43.5710875514], [-87.1419622464, 43.6578781195], [-87.0832319811, 43.8901895208], [-87.0324340482, 44.0912883571], [-86.9186683825, 44.3616852891], [-86.8223435127, 44.5913353542], [-86.7149340482, 44.846410224], [-86.536081916, 45.0416696234], [-86.4016715156, 45.1332144232], [-86.264599779, 45.2268779567], [-86.48156328, 45.3231769883], [-86.774206916, 45.4522905544], [-86.9424653796, 45.4522905544], [-87.1155039131, 45.4522905544], [-87.2446174792, 45.2898456895], [-87.4197747464, 45.1840123561], [-87.4594622464, 45.0681279567], [-87.6129154121, 45.1104509548], [-87.613974779, 45.1088748236], [-87.7473258125, 45.2268779567], [-87.6732476468, 45.3877466904], [-87.8933892484, 45.3967125514], [-87.8478881498, 45.5591832546], [-87.7870133125, 45.6396176214], [-87.87540585, 45.7798416205], [-88.1119288806, 45.8433519557], [-88.1669642809, 46.0079155544], [-88.361706916, 46.0206279567], [-88.6442736478, 46.0222040879], [-89.2210601468, 46.2021155869], [-90.0963038806, 46.3809935573], [-90.1767382474, 46.5608792181], [-90.3339121162, 46.5936937526], [-90.3349714831, 46.5968718532], [-90.396879849, 46.5762529567], [-90.41062578, 46.5841852891], [-90.3952778796, 46.6116771511]]], ""type"": ""Polygon""}";44.8652154769,-85.7297151447
1968-01-14;II;75546;Green Bay Packers;Bart Starr;Vince Lombardi;33;Oakland Raiders;Daryle Lamonica;John Rauch;14;Bart Starr;Orange Bowl;Miami;Florida;19;;;;;;;;"{""coordinates"": [[[-80.056539285, 26.88], [-80.088015, 26.205765], [-80.13156, 25.816775], [-80.38103, 25.20616], [-80.6797985501, 25.0799164902], [-81.1719132148, 25.2010977239], [-81.3301206123, 25.6397531194], [-81.7100715807, 25.869945787], [-82.2397808499, 26.7298416204], [-82.70515, 27.49504], [-82.85526, 27.88624], [-82.6498850166, 28.5501697861], [-82.93, 29.1], [-83.70959, 29.93656], [-84.0997965156, 30.0900499537], [-85.10882, 29.63615], [-85.28784, 29.68612], [-85.7731, 30.15261], [-86.4000695462, 30.4001602239], [-87.5303881498, 30.2741989202], [-87.4578861152, 30.4112706569], [-87.4049694486, 30.60864879], [-87.6330433825, 30.8515280218], [-87.6171528796, 30.9277249212], [-87.0456632149, 30.9848790553], [-85.0051934476, 30.9906926539], [-84.8533164131, 30.7213550888], [-83.8478997464, 30.6753113877], [-82.2260090807, 30.5255530869], [-82.151930915, 30.3509384222], [-82.022817349, 30.4403644882], [-82.0201560127, 30.7880176865], [-81.8995173815, 30.8218915878], [-81.7015966458, 30.7483301865], [-81.4904725817, 30.7298300237], [-81.31371, 30.03552], [-80.979831916, 29.17989879], [-80.535585, 28.47213], [-80.5300402493, 28.0400717229], [-80.056539285, 26.88]]], ""type"": ""Polygon""}";28.6169283051,-82.5025741003
1980-01-20;XIV;103985;Pittsburgh Steelers;Terry Bradshaw;Chuck Noll;31;Los Angeles Rams;Vince Ferragamo;Ray Malavasi;19;Terry Bradshaw;Rose Bowl;Pasadena;California;12;Fred Silva;Al Conway;Burl Toler;Bob Beeks;Charley Musser;Stan Javie;Ben Tompkins;"{""coordinates"": [[[-114.3549006824, 34.464666653], [-114.165971646, 34.2725853541], [-114.4691831124, 34.0672748886], [-114.5485581124, 33.6095250514], [-114.7433007475, 33.3798749863], [-114.6914434477, 33.2036841904], [-114.6559934152, 33.0539000514], [-114.479776781, 32.9163373886], [-114.5898475818, 32.7162979192], [-114.72139, 32.72083], [-115.9910798816, 32.6125833196], [-117.1277288481, 32.5353270533], [-117.2959376913, 33.0462246152], [-117.944, 33.6212364312], [-118.4106022759, 33.7409092231], [-118.5198948228, 34.0277815776], [-119.081, 34.078], [-119.438840642, 34.3484771783], [-120.367816122, 34.4472258571], [-120.6228651536, 34.6086113551], [-120.7445889899, 35.1568207871], [-121.714555624, 36.1617206894], [-122.5474505215, 37.5518167181], [-122.5120004889, 37.7836113551], [-122.9533172207, 38.1137979193], [-123.7269650885, 38.9514728867], [-123.8650703538, 39.7669269883], [-124.3979577236, 40.3130176865], [-124.1788754889, 41.1422435573], [-124.2138087572, 41.9994780544], [-119.9989755866, 41.9926050889], [-120.0000349534, 38.9953978542], [-118.1146195138, 37.6444208847], [-116.3207496814, 36.3220468206], [-114.642221646, 35.0531061875], [-114.6221195138, 34.9636801214], [-114.5670841134, 34.8282103541], [-114.4845310128, 34.6530530869], [-114.3549006824, 34.464666653]]], ""type"": ""Polygon""}";37.2551445335,-119.640543961
1986-01-26;XX;73818;Chicago Bears;Jim McMahon;Mike Ditka;46;New England Patriots;Tony Eason, Steve Grogan;Raymond Berry;10;Richard Dent;Louisiana Superdome;New Orleans;Louisiana;36;Red Cashion;Ron Botchan;Dale Williams;Bama Glass;Jack Vaughan;Al Jury;Bob Rice;"{""coordinates"": [[[-89.21767, 29.29108], [-89.4083872139, 29.1597708196], [-89.77928, 29.30714], [-90.15463, 29.11743], [-90.880225, 29.148535], [-91.626785, 29.677], [-92.49906, 29.5523], [-93.22637, 29.78375], [-93.84842, 29.71363], [-93.9184736804, 29.8217717555], [-93.8168778145, 29.9683519557], [-93.6671195137, 30.1006436223], [-93.6644840157, 30.3001404892], [-93.7375028145, 30.3668030869], [-93.6501954821, 30.6054706894], [-93.5861683825, 30.7139395208], [-93.4898435127, 31.0796019557], [-93.5782360502, 31.2161310898], [-93.6941204496, 31.4436624212], [-93.7793090482, 31.67543122], [-93.8348612129, 31.8299437526], [-93.9989080472, 31.9426500514], [-94.0597570463, 33.0121196559], [-93.0940278796, 33.0105176865], [-92.0013038806, 33.0438748235], [-91.1562391833, 33.0100009222], [-91.0847965157, 32.9528467881], [-91.1757987129, 32.8083853216], [-91.0308204821, 32.6025322535], [-91.0720841133, 32.4787155218], [-90.9429705472, 32.3067363551], [-91.0816184151, 32.2045978867], [-91.1281788806, 32.0156946884], [-91.3213195463, 31.8595801865], [-91.4112882149, 31.6500322535], [-91.5022904121, 31.408729153], [-91.6245310127, 31.297082221], [-91.5837841459, 31.0473300237], [-90.7016674466, 31.0155748561], [-89.7592185127, 31.0134561224], [-89.7877955798, 30.8472905543], [-89.8539414131, 30.68324372], [-89.790456916, 30.5567914902], [-89.6586820137, 30.4408812526], [-89.6232319811, 30.2752582871], [-89.6047059802, 30.1762979192], [-89.413735, 29.89419], [-89.43, 29.48864], [-89.21767, 29.29108]]], ""type"": ""Polygon""}";31.0480777894,-91.9572061819
1996-01-28;XXX;76347;Dallas Cowboys;Troy Aikman;Barry Switzer;27;Pittsburgh Steelers;Neil O'Donnell;Bill Cowher;17;Larry Brown;Sun Devil Stadium;Tempe;Arizona;10;Red Cashion;John Keck;Paul Weidner;Dale Orem;Don Hakes;Dick Creed;Bill Carollo;"{""coordinates"": [[[-109.0452247791, 36.9999124212], [-109.0436728102, 31.3418991373], [-111.0237861804, 31.3346509873], [-113.3050164458, 32.0389749212], [-114.8147434152, 32.5252759873], [-114.72139, 32.72083], [-114.5898475818, 32.7162979192], [-114.479776781, 32.9163373886], [-114.6559934152, 33.0539000514], [-114.6914434477, 33.2036841904], [-114.7433007475, 33.3798749863], [-114.5485581124, 33.6095250514], [-114.4691831124, 34.0672748886], [-114.165971646, 34.2725853541], [-114.3549006824, 34.464666653], [-114.4845310128, 34.6530530869], [-114.5670841134, 34.8282103541], [-114.6221195138, 34.9636801214], [-114.642221646, 35.0531061875], [-114.5808558826, 35.2494249538], [-114.6300518462, 35.4452269557], [-114.6506965809, 35.6389102239], [-114.6501798165, 35.8542717555], [-114.7396058826, 35.9913176539], [-114.6713413156, 36.1146176214], [-114.4607340157, 36.1146176214], [-114.2691694812, 36.0436917181], [-114.1326403471, 36.0040042181], [-114.0664945138, 36.1564238551], [-114.0236289132, 36.1897551539], [-114.0305277169, 36.9940988226], [-112.4176029122, 37.0094208847], [-110.4962214832, 37.0073279892], [-109.0452247791, 36.9999124212]]], ""type"": ""Polygon""}";34.2955950831,-111.659463463
2005-02-06;XXXIX;78125;New England Patriots;Tom Brady;Bill Belichick;24;Philadelphia Eagles;Donovan McNabb;Andy Reid;21;Deion Branch;Alltel Stadium;Jacksonville;Florida;3;Terry McAulay;Carl Paganelli;Gary Slaughter;Mark Steinkerchner;Tom Sifferman;Tony Steratore;Rick Patterson;"{""coordinates"": [[[-80.056539285, 26.88], [-80.088015, 26.205765], [-80.13156, 25.816775], [-80.38103, 25.20616], [-80.6797985501, 25.0799164902], [-81.1719132148, 25.2010977239], [-81.3301206123, 25.6397531194], [-81.7100715807, 25.869945787], [-82.2397808499, 26.7298416204], [-82.70515, 27.49504], [-82.85526, 27.88624], [-82.6498850166, 28.5501697861], [-82.93, 29.1], [-83.70959, 29.93656], [-84.0997965156, 30.0900499537], [-85.10882, 29.63615], [-85.28784, 29.68612], [-85.7731, 30.15261], [-86.4000695462, 30.4001602239], [-87.5303881498, 30.2741989202], [-87.4578861152, 30.4112706569], [-87.4049694486, 30.60864879], [-87.6330433825, 30.8515280218], [-87.6171528796, 30.9277249212], [-87.0456632149, 30.9848790553], [-85.0051934476, 30.9906926539], [-84.8533164131, 30.7213550888], [-83.8478997464, 30.6753113877], [-82.2260090807, 30.5255530869], [-82.151930915, 30.3509384222], [-82.022817349, 30.4403644882], [-82.0201560127, 30.7880176865], [-81.8995173815, 30.8218915878], [-81.7015966458, 30.7483301865], [-81.4904725817, 30.7298300237], [-81.31371, 30.03552], [-80.979831916, 29.17989879], [-80.535585, 28.47213], [-80.5300402493, 28.0400717229], [-80.056539285, 26.88]]], ""type"": ""Polygon""}";28.6169283051,-82.5025741003
2008-02-03;XLII;71101;New York Giants;Eli Manning;Tom Coughlin;17;New England Patriots;Tom Brady;Bill Belichick;14;Eli Manning;University of Phoenix Stadium;Glendale;Arizona;3;Mike Carey[3];Tony Michalek;Gary Slaughter;Carl Johnson;Boris Cheek;Scott Helverson;Larry Rose;"{""coordinates"": [[[-109.0452247791, 36.9999124212], [-109.0436728102, 31.3418991373], [-111.0237861804, 31.3346509873], [-113.3050164458, 32.0389749212], [-114.8147434152, 32.5252759873], [-114.72139, 32.72083], [-114.5898475818, 32.7162979192], [-114.479776781, 32.9163373886], [-114.6559934152, 33.0539000514], [-114.6914434477, 33.2036841904], [-114.7433007475, 33.3798749863], [-114.5485581124, 33.6095250514], [-114.4691831124, 34.0672748886], [-114.165971646, 34.2725853541], [-114.3549006824, 34.464666653], [-114.4845310128, 34.6530530869], [-114.5670841134, 34.8282103541], [-114.6221195138, 34.9636801214], [-114.642221646, 35.0531061875], [-114.5808558826, 35.2494249538], [-114.6300518462, 35.4452269557], [-114.6506965809, 35.6389102239], [-114.6501798165, 35.8542717555], [-114.7396058826, 35.9913176539], [-114.6713413156, 36.1146176214], [-114.4607340157, 36.1146176214], [-114.2691694812, 36.0436917181], [-114.1326403471, 36.0040042181], [-114.0664945138, 36.1564238551], [-114.0236289132, 36.1897551539], [-114.0305277169, 36.9940988226], [-112.4176029122, 37.0094208847], [-110.4962214832, 37.0073279892], [-109.0452247791, 36.9999124212]]], ""type"": ""Polygon""}";34.2955950831,-111.659463463
2009-02-01;XLIII;70774;Pittsburgh Steelers;Ben Roethlisberger;Mike Tomlin;27;Arizona Cardinals;Kurt Warner;Ken Whisenhunt;23;Santonio Holmes;Raymond James Stadium;Tampa;Florida;4;Terry McAulay;Roy Ellison;Derrick Bowers;Mark Perlman;Greg Gautreaux;Keith Ferguson;Michael Banks;"{""coordinates"": [[[-80.056539285, 26.88], [-80.088015, 26.205765], [-80.13156, 25.816775], [-80.38103, 25.20616], [-80.6797985501, 25.0799164902], [-81.1719132148, 25.2010977239], [-81.3301206123, 25.6397531194], [-81.7100715807, 25.869945787], [-82.2397808499, 26.7298416204], [-82.70515, 27.49504], [-82.85526, 27.88624], [-82.6498850166, 28.5501697861], [-82.93, 29.1], [-83.70959, 29.93656], [-84.0997965156, 30.0900499537], [-85.10882, 29.63615], [-85.28784, 29.68612], [-85.7731, 30.15261], [-86.4000695462, 30.4001602239], [-87.5303881498, 30.2741989202], [-87.4578861152, 30.4112706569], [-87.4049694486, 30.60864879], [-87.6330433825, 30.8515280218], [-87.6171528796, 30.9277249212], [-87.0456632149, 30.9848790553], [-85.0051934476, 30.9906926539], [-84.8533164131, 30.7213550888], [-83.8478997464, 30.6753113877], [-82.2260090807, 30.5255530869], [-82.151930915, 30.3509384222], [-82.022817349, 30.4403644882], [-82.0201560127, 30.7880176865], [-81.8995173815, 30.8218915878], [-81.7015966458, 30.7483301865], [-81.4904725817, 30.7298300237], [-81.31371, 30.03552], [-80.979831916, 29.17989879], [-80.535585, 28.47213], [-80.5300402493, 28.0400717229], [-80.056539285, 26.88]]], ""type"": ""Polygon""}";28.6169283051,-82.5025741003
